"kode","navn","verdensdel","region","tilfeller","tilfeller1000","dode","respons","areal","folketall","BNPpc","over64","urban","turisme","temperatur","immigranter","FHIFIW","kvinneligleder","eumedlem","oecdmedlem","tillitgenerelt","tillitmyndigheter","sykepenger","velferdsstatstypologi","DDD1000","DRI"
"IMN","Isle of Man","Europa","Nord-Europa",336,3.99633669136625,24,NA,570,84077,NA,NA,52.588,NA,NA,50.7,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"IND","India","Asia","Sør-Asia",936181,0.692125541068035,24309,75.46,2973190,1352617328,2005.86300452403,6.17995564947149,34.03,17423000,23.65,0.4,71,0,0,0,NA,NA,NA,NA,NA,72
"IRL","Irland","Europa","Nord-Europa",25670,5.27395385875912,1746,83.33,68890,4867316,78621.2279552716,13.8658017012923,63.17,10926000,9.3,17.1,97,0,1,1,NA,NA,1.08,NA,23.27,48
"IRN","Iran","Asia","Sør-Asia",262173,3.20503835995943,13211,52.78,1628760,81800269,NA,6.18457380562499,74.898,7295000,17.25,3.2,17,0,0,0,1.85060565275908,2.58479138627187,NA,NA,38.78,NA
"IRQ","Irak","Asia","Vest-Asia",81757,2.12722721785105,3345,92.59,434128.0078125,38433600,5834.16621076139,3.32359966279505,70.473,NA,21.4,0.9,31,0,0,0,1.88458149779736,3.27753303964758,NA,NA,NA,NA
"ISL","Island","Europa","Nord-Europa",1835,5.20241210475135,10,39.81,100250,352721,72968.7042306678,14.7950925565689,93.813,2343800,1.75,15.5,94,1,0,1,NA,NA,NA,NA,17.87,NA
"ISR","Israel","Asia","Vest-Asia",42360,4.76876660512451,371,75,21640,8882800,41719.7254417057,11.9769860249625,92.418,4121000,19.2,23,76,0,0,1,NA,NA,NA,NA,NA,NA
"ITA","Italia","Europa","Sør-Europa",243344,4.02742323295448,34984,52.78,294140,60421760,34520.085162403,22.7516796025077,70.438,61567200,13.45,10.4,89,0,1,1,NA,NA,0.69,2,26.62,47
"JAM","Jamaica","Amerika","Latin-Amerika og Karibia",762,0.259638040039457,10,76.85,10830,2934855,5354.2368587703,8.79664255070196,55.674,2473000,24.95,0.8,78,0,0,0,NA,NA,NA,NA,NA,NA
"JOR","Jordan","Asia","Vest-Asia",1198,0.120329316630928,10,77.78,88780,9956011,4241.78878213854,3.84649039799834,90.979,4150000,18.3,33.1,37,0,0,0,1.83562992125984,2.81299212598425,NA,NA,8.92,NA
"JPN","Japan","Asia","Øst-Asia",22508,0.177887932499322,984,27.78,364560,126529100,39159.4235633952,27.576369910355,91.616,31192000,11.15,2,96,0,0,1,1.63942712721146,2.63437236731255,0.59,1,14.19,NA
"KAZ","Kasakhstan","Asia","Sentral-Asia",63514,3.47517332162941,375,77.31,2699700,18276498.5,9812.60140498928,7.39184627103032,57.428,8789000,6.4,20,23,0,0,0,1.76317991631799,2.11380753138075,NA,NA,17.89,NA
"KEN","Kenya","Afrika","Afrika sør for Sahara",10791,0.209970188552879,202,93.52,569140,51393010,1707.98680529003,2.33918661191556,27.03,NA,24.75,2,48,0,0,0,NA,NA,NA,NA,NA,NA
